numenq,man,age98,country_birth,region_school,location,urban_area,sch_lev,age_jun_hs,origin_father,origin_mother,occup_father,occup_mother
100001,0,19,0,83,1,7,1,12,0,0,1,1
100005,0,19,0,93,1,3,2,12,0,0,5,3
100005,0,19,0,93,1,3,2,12,0,0,5,3
100033,1,19,0,91,1,7,1,11,17,17,1,7
100041,0,18,23,11,1,1,1,11,23,23,5,7
100042,1,21,8,74,1,7,2,14,8,8,99,99
100046,1,18,0,11,1,1,1,11,0,0,2,5
100048,0,17,0,42,1,7,2,11,0,0,2,5
100056,1,18,0,11,1,1,1,11,99,99,99,99
100058,1,20,0,82,1,2,2,12,26,26,4,5
100059,1,17,0,11,1,1,1,14,17,17,6,7
100062,0,19,0,93,1,3,2,12,0,0,5,99
100064,1,21,0,11,1,1,1,13,23,23,6,7
100068,1,17,16,11,1,1,1,11,16,16,5,5
100070,1,21,0,22,1,7,2,11,0,0,6,6
100099,1,19,0,21,2,7,2,14,0,0,6,6
100103,1,20,0,23,1,7,2,13,0,0,6,5
100106,1,19,0,24,2,7,2,11,0,0,1,5
100108,0,22,1,91,1,7,1,11,1,1,1,7
100110,0,21,0,53,1,7,1,11,0,0,3,7
100113,0,19,0,82,1,2,2,11,0,0,99,99
100114,1,18,0,11,1,1,2,11,0,0,5,5
100115,0,22,21,11,1,1,2,13,21,21,99,5
100123,0,18,0,24,2,7,2,11,0,0,6,5
100161,0,20,0,54,1,7,1,11,0,0,5,5
100172,1,18,0,43,1,7,2,11,0,0,6,99
100172,1,18,0,43,1,7,2,11,0,0,6,99
100187,0,18,0,31,1,7,2,12,0,0,6,5
100191,1,19,24,82,1,2,2,11,24,24,99,7
100198,1,20,0,72,1,1,2,11,17,17,6,7
100200,0,17,0,31,1,4,1,11,19,0,6,6
100208,1,16,0,93,1,7,1,13,17,17,5,7
100215,0,20,0,31,1,7,2,11,17,17,99,2
100217,1,18,0,72,1,7,2,11,0,0,5,5
100223,1,18,0,22,1,7,1,11,0,0,6,7
100225,1,18,0,91,1,7,2,11,0,0,6,5
100231,1,19,24,11,1,1,1,13,24,24,6,6
100241,1,20,0,24,1,7,2,12,0,0,5,5
100243,1,17,0,72,1,7,1,12,1,1,99,7
100244,1,19,0,54,2,7,1,12,0,0,4,5
100245,1,21,0,43,1,7,2,14,24,24,6,7
100250,1,22,0,72,1,7,2,11,0,0,6,5
100257,0,18,0,21,1,7,2,12,99,0,99,5
100262,0,20,0,11,1,7,2,12,0,0,5,5
100271,1,19,0,42,1,7,2,11,0,0,5,5
100272,1,19,0,23,2,7,1,11,19,19,5,5
100280,1,20,0,72,1,7,2,13,0,0,5,3
100282,0,19,0,11,1,1,2,11,0,0,6,5
100282,0,19,0,11,1,1,2,11,0,0,6,5
100289,1,16,0,93,1,7,1,11,0,0,3,5
100298,1,18,0,11,1,1,1,13,0,0,5,5
100324,0,18,0,53,1,7,1,12,0,0,5,5
100328,0,20,0,31,1,7,1,11,0,0,4,3
100336,1,21,0,31,1,7,1,13,0,0,6,5
100339,1,18,1,74,1,1,1,12,1,1,6,99
100346,1,18,0,82,1,2,2,12,0,0,3,7
100350,0,18,0,42,1,7,2,12,0,0,6,6
100357,1,20,0,11,2,7,1,12,0,0,3,6
100361,1,18,0,31,1,4,2,11,0,0,6,5
100365,1,19,0,23,1,1,1,12,0,0,5,2
100374,1,20,0,42,1,7,1,11,1,1,99,5
100382,1,18,0,93,2,7,1,11,1,1,6,7
100389,1,19,24,11,1,1,1,13,24,24,6,6
100394,1,21,1,11,1,1,1,12,1,1,6,7
100400,1,18,24,26,2,7,1,12,24,24,5,5
100407,1,18,0,31,1,7,2,12,0,0,5,5
100408,1,21,0,31,1,4,2,11,0,1,5,7
100413,1,18,23,11,1,1,1,11,23,23,2,7
100415,1,18,28,82,1,7,1,12,28,28,5,6
100416,1,19,0,52,2,7,2,11,0,0,6,5
100429,1,21,0,73,1,5,2,12,0,0,4,7
100430,0,18,0,93,2,7,1,12,0,0,3,5
100433,1,20,0,93,1,6,2,12,1,1,5,7
100445,0,19,0,11,1,1,1,11,0,0,3,3
100457,0,19,0,93,1,6,2,12,26,0,5,5
100460,0,22,0,52,1,7,2,12,0,0,5,5
100461,1,17,0,82,99,99,2,11,0,0,99,5
100464,0,18,0,41,2,7,2,11,0,0,3,5
100466,1,20,0,82,1,7,2,12,0,0,2,2
100466,1,20,0,82,1,7,2,12,0,0,2,2
100473,0,18,17,91,1,7,2,13,17,17,2,7
100474,1,16,0,11,1,1,1,14,0,0,5,7
100487,1,16,0,11,1,1,1,11,16,16,5,6
100491,0,16,0,11,1,1,1,11,17,17,5,7
100502,1,19,0,93,1,7,1,12,1,1,6,99
100506,0,18,0,82,1,7,1,12,23,23,5,5
100509,0,18,0,11,1,1,2,11,0,0,4,5
100515,1,22,0,11,1,1,1,11,1,1,2,5
100517,1,20,0,43,2,7,1,12,0,0,3,3
100521,0,22,0,11,1,1,2,12,9,9,3,5
100532,0,19,0,53,1,7,2,11,0,0,6,4
100535,0,19,0,93,1,6,2,11,0,0,5,5
100536,1,21,0,72,1,7,2,13,1,1,1,1
100536,1,21,0,72,1,7,2,13,1,1,1,1
100540,1,17,0,11,1,1,1,11,0,0,5,99
100545,0,17,0,11,1,1,1,13,0,0,2,2
100549,1,20,1,42,1,7,2,12,1,1,99,7
100559,1,21,0,43,2,7,2,12,0,0,6,5
100569,0,18,0,91,1,7,1,11,0,0,5,5
100573,0,16,0,23,1,7,1,11,0,0,5,7
100575,1,20,0,11,1,1,1,11,1,1,99,99
100576,0,20,0,22,2,7,2,12,0,0,2,99
100577,1,18,0,82,1,7,2,11,0,0,99,3
100581,1,18,0,31,1,7,1,14,0,0,6,7
100584,1,18,0,21,1,7,1,12,0,0,6,7
100589,0,19,0,11,1,1,2,11,0,0,5,5
100590,1,18,0,93,1,3,1,13,1,1,4,7
100590,1,18,0,93,1,3,1,13,1,1,4,7
100607,0,20,33,22,1,1,2,14,0,21,2,7
100608,1,17,0,93,2,7,1,13,0,0,5,5
100627,0,20,0,82,1,7,2,11,0,0,6,99
100631,1,17,0,11,1,1,1,11,17,17,5,7
100639,0,22,0,11,1,1,2,11,0,0,5,5
100640,0,17,0,11,1,2,1,11,0,0,5,5
